onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.81757918931544	1110101011.jpg	2	1	5	0	0.000137495595079965	0.271792457879178
14	5	1	1.30896025057882	1100001111.jpg	1	1	2	0	1.70126113627567	0.802056418098923
26	5	2	1.90463161934167	0111100011.jpg	2	1	6	0	0.00164878300302338	0.320582162538184
38	5	2	2.73187775630504	1101110011.jpg	1	0	7	0	0.0016487916330925	0.311123821844208
50	5	1	2.03851339314133	0000101011.jpg	1	1	2	0	0.141872197136489	0.183278708083753
62	5	1	2.06537783332169	1110001111.jpg	1	1	3	0	0.001648782407131	0.258301737126532
74	5	1	1.43703073076904	1000001111.jpg	1	1	1	0	1.70127325278804	0.802057509286609
86	5	2	2.03280494734645	1010100011.jpg	2	1	5	0	0.0016487916330925	0.393054872302448
98	5	2	1.20400206372142	1111110011.jpg	2	1	8	0	1.70126100438937	1.00706539504332
110	5	1	1.23983315564692	1000101111.jpg	1	1	2	1	1.7012821592249	0.802057371095349
122	5	2	1.05756650399417	1010110011.jpg	2	1	6	1	1.7012821592249	1.00706380038679
134	5	2	1.26898377761245	0111110011.jpg	2	1	7	0	1.70127325278804	0.802057509286609
146	5	1	1.16969734244049	0100001111.jpg	1	1	1	0	1.70127312087125	1.00706401348156
158	5	1	1.70002909004688	0101001111.jpg	1	1	2	1	1.7012821592249	1.00706380038679
170	5	1	2.53633965086192	0000100011.jpg	2	0	3	0	1.70127325278804	0.16812260125374
182	5	2	1.17936202138662	1110010011.jpg	2	1	6	0	1.70126113627567	1.0070650069832
194	5	2	1.46997753437608	1101100011.jpg	1	0	6	1	1.7012821592249	0.173102851879771
