onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.34266479499638	0100011011.jpg	1	0	5	0	0.120489116019828	1.03279395614589
14	5	1	4.03796332003549	1111110011.jpg	1	1	2	1	3.99500754106641	1.19999953330557
26	5	2	2.18630041205324	0100000111.jpg	2	1	6	0	3.9950075409225	1.19999938473461
38	5	1	3.28555558691733	1010111111.jpg	1	1	2	1	3.99500754106641	1.19999941168195
50	5	1	1.39259247295558	1010010111.jpg	1	1	2	0	3.99500748211805	1.19999937739655
62	5	1	4.0599019008223	1110010111.jpg	1	1	3	0	3.99500748207023	1.19999928596809
74	5	2	1.958958246978	0101001111.jpg	2	1	8	0	3.99500754106601	1.19999975273401
86	5	2	1.77831345703453	0101000011.jpg	2	1	6	1	3.99500754106641	1.19999941168195
98	5	2	1.65515453112312	1101101111.jpg	1	0	6	1	3.9950075410664	1.19999909445094
110	5	1	2.28186757490039	1010111011.jpg	2	0	1	0	3.99500754097051	1.19999951273449
122	5	1	1.34116988908499	1000100011.jpg	2	0	2	1	3.99500754106641	1.19999853397127
134	5	2	1.83187584206462	0101000111.jpg	2	1	7	0	3.99500754097051	1.19999951273449
146	5	1	0.9557285530027	1110010011.jpg	1	1	2	0	3.99500748216601	1.19999938702061
158	5	1	1.43780145514756	1010110111.jpg	1	1	1	0	3.99500754097032	1.19999965168142
170	5	1	1.01718738093041	0100110011.jpg	1	1	3	0	0.120489114247739	1.03279428811382
182	5	2	2.45282826805487	0101111111.jpg	1	0	6	0	0.120489114249188	1.03279398534317
194	5	1	1.360837015789	1010110011.jpg	2	0	0	0	3.99500754106601	1.19999975273401
206	5	2	1.27638646494597	0000001111.jpg	2	1	6	1	3.99500754106641	1.19999953330557
218	5	2	2.19939427310601	0111001111.jpg	1	0	7	0	0.120489116024156	1.03279459499978
230	5	2	0.993438001954928	0111011111.jpg	1	0	6	1	3.99500754106641	1.19999853397127
242	5	2	1.34160324907862	0100101011.jpg	2	1	5	0	3.99500748207027	1.1999992493967
254	5	1	1.11309245787561	0010010011.jpg	1	1	2	1	3.9950075410664	1.19999909445094
