onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	1000101111.jpg	2	2
14	5	1	0101001111.jpg	2	3
26	5	2	1101100011.jpg	6	8
38	5	1	0000000011.jpg	2	1
50	5	2	1111111111.jpg	6	5
62	5	1	0010011111.jpg	2	4
74	5	2	1010110011.jpg	6	7
86	5	2	0111010011.jpg	6	6
98	5	2	1010110011.jpg	6	7
110	5	1	1000101111.jpg	2	2
122	5	1	0010011111.jpg	2	4
134	5	2	1111111111.jpg	6	5
146	5	2	1101100011.jpg	6	8
158	5	1	0000000011.jpg	2	1
170	5	2	0111010011.jpg	6	6
182	5	1	0101001111.jpg	2	3
194	5	1	0000000011.jpg	2	1
206	5	2	0111010011.jpg	6	6
218	5	1	1000101111.jpg	2	2
230	5	1	0010011111.jpg	2	4
242	5	1	0101001111.jpg	2	3
254	5	2	1101100011.jpg	6	8
266	5	2	1111111111.jpg	6	5
278	5	2	1010110011.jpg	6	7
