onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.27379276975989	0101110111.jpg	1	0	5	0	9.48672164259346e-05	9.23169463743513e-16
14	5	1	2.23021846357733	0101100011.jpg	1	1	3	0	0.0342955771286578	1.2771987480702e-13
26	5	1	2.65021619200706	0100100011.jpg	1	1	2	0	0.00125894767429014	7.91541497987851e-13
38	5	2	3.09368998464197	0111011111.jpg	2	1	6	1	1.00000000000014	7.70125896593285e-13
50	5	2	NaN	1110111111.jpg	NaN	0	7	0	0.000335117640025255	0.161355879800957
62	5	2	3.47545729018748	1110111011.jpg	2	1	6	0	0.00353261785771278	0.00661785282698728
74	5	1	2.166847682558	0000000011.jpg	1	1	0	0	0.00912909478915677	1
86	5	1	2.73081965371966	1000100011.jpg	1	1	2	1	1.00000000000014	7.70125896593285e-13
98	5	1	2.07006813772023	0000010011.jpg	1	1	1	0	0.000266198742003194	0.176234374924518
110	5	2	2.60078803449869	0011111111.jpg	1	0	6	0	1.149305300773e-05	1.33014495087131e-15
122	5	1	2.04361463245004	0000000111.jpg	1	1	1	0	0.0962336804451652	0.0410140171845665
134	5	1	3.51175249647349	0010010011.jpg	1	1	2	1	1.00000000000015	2.94462341083394e-11
146	5	1	2.90717989392579	1000101011.jpg	1	1	3	0	0.0962336804451652	3.15841834109588e-14
158	5	2	3.10928388219327	1111010011.jpg	2	1	5	0	0.0342955771286578	0.000279952536520934
170	5	2	3.11304042581469	1011111111.jpg	2	1	7	0	0.0367087472990309	4.75586497838923e-12
182	5	2	2.67678974941373	1010111111.jpg	2	1	6	1	1.00000000000015	7.67386777802586e-13
194	5	1	2.43986732047051	1100000011.jpg	2	0	2	0	1.149305300773e-05	1.33014495087131e-15
